term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
que,0.004213393668129563,0.6951758657530763,61,11,0.011969396916161699,-0.009962283285001832,6,13,12,4,8,2,6,10,"Whiplash:13, Everything Everywhere All at Once:12, Don't Look Up:10",다국어 리뷰
la,0.003967132391327276,1.0,49,11,0.04135585193140039,-0.0334353913961873,4,10,9,2,3,3,9,9,"Whiplash:10, Everything Everywhere All at Once:9, Red Notice:9",다국어 리뷰
filme,0.0031643227635055715,1.0,34,9,0.004609752112823242,-0.005126518987428737,2,7,4,4,5,0,3,9,"Don't Look Up:9, Whiplash:7, F1 The Movie:5",다국어 리뷰
pelicula,0.0026464383467675228,1.0,38,11,0.0058545988355469475,-0.00433955946894068,5,4,8,1,4,4,8,4,"Everything Everywhere All at Once:8, Red Notice:8, KPop Demon Hunters:5",다국어 리뷰
es,0.0025078038409146065,0.672648047158492,37,11,0.009572472360335873,-0.01170180560352605,6,5,10,1,4,2,6,3,"Everything Everywhere All at Once:10, KPop Demon Hunters:6, Red Notice:6",다국어 리뷰
tempo,0.0020818097996971718,0.9606854153081633,24,9,0.09797108573657753,-0.0041065486935574404,1,19,2,0,2,0,0,0,"Whiplash:19, Everything Everywhere All at Once:2, F1 The Movie:2",다국어 리뷰
una,0.002062030054364459,0.6650676501726973,28,11,0.003385821527895663,-0.0022988771632174907,6,3,4,0,3,2,4,6,"KPop Demon Hunters:6, Don't Look Up:6, Everything Everywhere All at Once:4",다국어 리뷰
en,0.001968379148430525,0.5735220557439635,28,11,0.005859473999732581,-0.007186006970572719,3,5,6,1,3,2,3,5,"Everything Everywhere All at Once:6, Whiplash:5, Don't Look Up:5",다국어 리뷰
final,0.0017282769707148327,0.45918645022090493,46,11,0.05597600855390478,-0.041837003838047095,4,15,2,6,10,1,4,4,"Whiplash:15, F1 The Movie:10, Apex:6",다국어 리뷰
um,0.0015277769983784303,0.7418937605039213,18,9,0.00316304767132347,-0.0016414079171724325,1,6,2,2,2,1,2,2,"Whiplash:6, Everything Everywhere All at Once:2, Apex:2",다국어 리뷰
se,0.0014088474398822569,0.41996393866648196,30,11,0.012259558502024148,-0.007893180995528055,3,4,5,2,7,1,4,4,"F1 The Movie:7, Everything Everywhere All at Once:5, Whiplash:4",다국어 리뷰
el,0.0013456878027352263,0.4893536508999095,20,11,0.003441536584293521,-0.002839057630114084,2,2,4,0,3,1,5,3,"Red Notice:5, Everything Everywhere All at Once:4, F1 The Movie:3",다국어 리뷰
na,0.0012569555437348602,1.0,13,9,0.008256118994113833,-0.006595434824433923,0,4,1,1,2,0,0,5,"Don't Look Up:5, Whiplash:4, F1 The Movie:2",다국어 리뷰
muy,0.001256429627816889,0.43918170015532093,22,11,0.002288207239221633,-0.0015460783311087593,3,1,4,1,2,2,5,4,"Red Notice:5, Everything Everywhere All at Once:4, Don't Look Up:4",다국어 리뷰
uma,0.001203566904995472,0.5592443515158263,17,9,0.0021595406182662916,-0.0030390585800327045,2,4,1,3,1,0,1,5,"Don't Look Up:5, Whiplash:4, Apex:3",다국어 리뷰
da,0.0012032878458295244,0.43660401940237464,21,9,0.008585067375703,-0.007501535933200649,2,8,1,1,1,1,4,3,"Whiplash:8, Red Notice:4, Don't Look Up:3",다국어 리뷰
para,0.0012016275735573314,0.47764498262986876,24,9,0.0034582680044368545,-0.0020817699857398416,1,3,2,1,4,3,4,6,"Don't Look Up:6, F1 The Movie:4, Red Notice:4",다국어 리뷰
esta,0.0011027502253629945,0.4381273876032512,22,11,0.003350115459487545,-0.0010025934384934323,3,4,3,2,3,3,2,2,"Whiplash:4, KPop Demon Hunters:3, Everything Everywhere All at Once:3",다국어 리뷰
al,0.001036023171293896,0.609476123376648,19,11,0.00706188416724066,-0.00802697558613435,3,2,3,1,3,1,3,3,"KPop Demon Hunters:3, Everything Everywhere All at Once:3, F1 The Movie:3",다국어 리뷰
buena,0.001028002440346888,0.5178056866178952,14,11,0.0013977084227588862,-0.0011443789440117032,1,0,2,1,2,0,3,5,"Don't Look Up:5, Red Notice:3, Everything Everywhere All at Once:2",다국어 리뷰
bom,0.0010130071793844084,0.9065618517898238,13,9,0.0014106385147593166,-0.0012346660104968399,1,2,0,1,4,0,2,3,"F1 The Movie:4, Don't Look Up:3, Whiplash:2",다국어 리뷰
mas,0.0010105963310525516,0.42225381449203125,25,9,0.0020540600962952677,-0.0020777202539742352,3,4,2,2,4,2,4,4,"Whiplash:4, F1 The Movie:4, Red Notice:4",다국어 리뷰
em,0.0009999226434468714,0.5388883624371497,18,9,0.010218564859714232,-0.004616028605433793,0,6,2,2,2,0,3,3,"Whiplash:6, Red Notice:3, Don't Look Up:3",다국어 리뷰
com,0.0009452874590677241,0.545764095335099,15,9,0.004613855680720542,-0.004051193571391222,1,4,1,0,6,0,1,2,"F1 The Movie:6, Whiplash:4, Don't Look Up:2",다국어 리뷰
pero,0.0009258870279955507,0.4857191641750052,17,11,0.002218030169565864,-0.0012684820629084966,3,1,4,0,1,1,4,3,"Everything Everywhere All at Once:4, Red Notice:4, KPop Demon Hunters:3",다국어 리뷰
just,0.022431693059440226,0.724748534939701,567,13,1.5484253213487789,-1.340204711816182,58,65,101,88,63,42,82,68,"Everything Everywhere All at Once:101, Apex:88, Red Notice:82",부정평/실망/과대평가
